SHOP_MONTH,CUST_CODE,TOTAL_SPEND_CUST,TOTAL_TRANS_CUST,TOTAL_TRANS_CUST_PREVIOUS_MONTH,TOTAL_SPEND_CUST_PREVIOUS_MONTH
2006-04-01,CUST0000236180,23.27,12,3,2.23
2006-04-01,CUST0000312034,114.60000000000005,64,70,140.16000000000005
2006-04-01,CUST0000874376,8.1100000000000012,5,7,8.3099999999999987
2006-04-01,CUST0000648578,20.1,11,64,114.60000000000005
2006-04-01,CUST0000550874,40.96,22,23,49.75
2006-04-01,CUST0000420890,71.460000000000036,27,13,21.350000000000005
2006-04-01,CUST0000591629,75.969999999999985,47,14,31.06
2006-04-01,CUST0000448280,81.95,34,50,116.55999999999997
2006-04-01,CUST0000761352,7.1099999999999994,4,2,1.31
2006-04-01,CUST0000907555,12.59,8,5,4.9
2006-04-01,CUST0000697268,3,4,7,23.240000000000002
2006-04-01,CUST0000679803,13.14,8,9,16.56
2006-04-01,CUST0000990465,18.93,7,2,6.8
2006-04-01,CUST0000986278,113.55999999999997,68,28,81.189999999999984
2006-04-01,CUST0000207859,75.92,50,35,62.51
2006-04-01,CUST0000188698,65.37,60,5,4.62
2006-04-01,CUST0000627742,7.8,1,1,0.42
2006-04-01,CUST0000204046,5.85,1,1,1.7
2006-04-01,CUST0000890061,34.629999999999995,12,47,118.09999999999998
2006-04-01,CUST0000663961,15.260000000000002,11,6,7.63
2006-04-01,CUST0000503266,3.75,3,22,34.43
2006-04-01,CUST0000049674,29.860000000000003,10,14,17.560000000000002
2006-04-01,CUST0000049077,72.83,41,42,44.44
2006-04-01,CUST0000561915,24.6,16,36,46.550000000000004
2006-04-01,CUST0000514631,26.389999999999997,12,2,1.3900000000000001
2006-04-01,CUST0000131615,165.93999999999994,68,49,63.820000000000007
2006-04-01,CUST0000159947,22.189999999999998,6,11,15.260000000000002
2006-04-01,CUST0000963229,8.1900000000000013,6,1,0.41
2006-04-01,CUST0000603483,23.979999999999997,8,7,6.59
2006-04-01,CUST0000234301,21.25,4,7,17.68
2006-04-01,CUST0000947916,300.07000000000005,87,48,65.140000000000015
2006-04-01,CUST0000015935,6.23,6,8,37.05
2006-04-01,CUST0000040844,20.09,17,25,51.539999999999992
2006-04-01,CUST0000042176,1.68,1,18,24.549999999999997
2006-04-01,CUST0000296108,93.240000000000023,62,17,20.09
2006-04-01,CUST0000431637,1.54,1,1,1.37
2006-04-01,CUST0000068327,0.92,1,4,5.4399999999999995
2006-04-01,CUST0000466448,72.02,45,26,71.82
2006-04-01,CUST0000641331,36.230000000000004,24,45,54.469999999999978
2006-04-01,CUST0000584770,14.030000000000001,6,19,35.19
2006-04-01,CUST0000476514,11.260000000000002,6,2,3.08
2006-04-01,CUST0000809879,24.43,4,11,17.78
2006-04-01,CUST0000501352,12.329999999999998,6,15,34.089999999999996
2006-04-01,CUST0000776119,22.099999999999998,3,11,20.49
2006-04-01,CUST0000734910,2.23,3,3,22.099999999999998
2006-04-01,CUST0000175060,88.909999999999982,46,18,33.120000000000005
2006-04-01,CUST0000119546,2.22,2,2,2.3200000000000003
2006-04-01,CUST0000203439,4.13,4,6,5.44
2006-04-01,CUST0000311218,94.409999999999982,38,16,26.470000000000002
2006-04-01,CUST0000336781,17.77,13,22,48.11
2006-04-01,CUST0000552058,11.379999999999999,9,8,7.1300000000000008
2006-04-01,CUST0000751202,17.78,11,12,22.07
2006-04-01,CUST0000684397,0.83,1,1,0.83
2006-04-01,CUST0000227510,42.63000000000001,28,1,0.9
2006-04-01,CUST0000973175,1.74,1,1,2.09
2006-04-01,CUST0000587700,4.62,5,6,4.58
2006-04-01,CUST0000878416,47.49,18,63,212.48000000000002
2006-04-01,CUST0000136043,103.07,67,10,14.13
2006-04-01,CUST0000557293,11.91,6,15,39.019999999999996
2006-04-01,CUST0000060865,18.470000000000002,9,29,36
2006-04-01,CUST0000446418,68.22,38,29,28.390000000000008
2006-04-01,CUST0000539672,74.490000000000009,39,54,171.21000000000004
2006-04-01,CUST0000133638,2.6300000000000003,3,8,19
2006-04-01,CUST0000937338,12.629999999999999,4,5,18.949999999999996
2006-04-01,CUST0000954594,17.9,10,12,23.01
2006-04-01,CUST0000281501,40.72999999999999,30,6,3.18
2006-04-01,CUST0000173247,10.469999999999999,7,4,67.88
2006-04-01,CUST0000512131,11.940000000000001,10,1,0.64
2006-04-01,CUST0000563011,4.6400000000000006,3,37,40.33
2006-04-01,CUST0000762781,28.210000000000004,23,25,67.160000000000011
2006-04-01,CUST0000957158,146,41,71,227.18000000000006
2006-04-01,CUST0000115566,45.14,21,41,72.83
2006-04-01,CUST0000710863,181.49999999999997,61,41,56.010000000000019
2006-04-01,CUST0000227584,29.720000000000006,17,6,11.91
2006-04-01,CUST0000268287,61.649999999999991,34,29,49.959999999999994
2006-04-01,CUST0000662705,86.510000000000019,68,30,41.309999999999995
2006-04-01,CUST0000926111,8.45,6,3,6.2900000000000009
2006-04-01,CUST0000822927,0.92,1,1,0.92
2006-04-01,CUST0000629928,18.5,18,22,24.68
2006-04-01,CUST0000328009,7.12,3,35,47.179999999999993
2006-04-01,CUST0000765119,46.04,6,48,82.89
2006-04-01,CUST0000623007,39.05,2,3,14.99
2006-04-01,CUST0000723168,8.83,6,4,10.17
2006-04-01,CUST0000507456,56.240000000000009,10,22,55.769999999999989
2006-04-01,CUST0000167145,14.13,10,14,17.659999999999997
2006-04-01,CUST0000678601,21.39,15,24,29.5
2006-04-01,CUST0000106470,36.3,25,14,25.330000000000005
2006-04-01,CUST0000607180,156.94,76,4,3.84
2006-04-01,CUST0000200775,0.01,1,1,0.01
2006-04-01,CUST0000660247,0.13,1,8,6.75
2006-04-01,CUST0000572392,58.080000000000013,29,11,20.52
2006-04-01,CUST0000159136,36.839999999999996,25,61,181.49999999999997
2006-04-01,CUST0000970554,0.57,1,1,0.35
2006-04-01,CUST0000325292,137.88999999999996,76,31,66.480000000000018
2006-04-01,CUST0000140993,49.959999999999994,29,67,103.07
